id,report_date,report_time,vehicle_id,lat,lon,direction
338,08/29/18,12:26:49,404,34.135809,-117.906884,180
339,08/29/18,12:26:36,402,34.057452,-118.23442,180
340,08/29/18,12:26:57,405,34.132387,-117.995071,0
341,08/29/18,12:26:57,451,34.033368,-118.160931,180
342,08/29/18,12:26:36,403,34.151845,-118.132701,180
343,08/29/18,12:26:36,454,34.140337,-118.02527,180
344,08/29/18,12:26:26,408,34.082787,-118.217915,0
345,08/29/18,12:26:49,409,34.051622,-118.23786,0
346,08/29/18,12:29:49,406,34.148369,-118.073431,0
347,08/29/18,12:29:30,401,34.036247,-118.19302,0
348,08/29/18,12:29:49,407,34.133676,-118.148126,0
349,08/29/18,12:29:08,452,34.03332,-118.183483,180
350,08/29/18,12:29:49,404,34.128936,-117.933582,180
351,08/29/18,12:29:17,402,34.0501,-118.237901,180
352,08/29/18,12:29:08,405,34.132544,-117.968079,0
353,08/29/18,12:28:36,451,34.033395,-118.154466,180
354,08/29/18,12:29:49,403,34.140317,-118.14815,180
355,08/29/18,12:29:17,454,34.148826,-118.053351,180
356,08/29/18,12:29:49,408,34.089522,-118.21147,0
357,08/29/18,12:29:08,409,34.057452,-118.23442,0
358,08/29/18,12:32:51,406,34.142366,-118.028371,0
359,08/29/18,12:32:28,401,34.047232,-118.219914,0
360,08/29/18,12:32:28,407,34.140317,-118.14815,0
361,08/29/18,12:32:37,452,34.033302,-118.171103,180
362,08/29/18,12:32:20,404,34.132544,-117.968079,180
363,08/29/18,12:32:51,402,34.047232,-118.219914,180
364,08/29/18,12:32:37,405,34.12906,-117.932574,0
365,08/29/18,12:32:51,451,34.03335,-118.162183,0
366,08/29/18,12:32:51,403,34.128831,-118.14802,180
367,08/29/18,12:32:28,454,34.148691,-118.086438,180
368,08/29/18,12:32:37,408,34.1071359,-118.200783,0
369,08/29/18,12:32:37,409,34.06675,-118.234833,0
370,08/29/18,12:35:43,406,34.1325689,-118.000816,0
371,08/29/18,12:35:15,401,34.047861,-118.229378,0
372,08/29/18,12:33:50,407,34.1512,-118.1461,0
373,08/29/18,12:35:50,452,34.033368,-118.160931,180
374,08/29/18,12:34:29,404,34.132444,-117.988407,180
375,08/29/18,12:35:50,402,34.042067,-118.2061,180
376,08/29/18,12:35:50,405,34.136014,-117.906198,0
377,08/29/18,12:35:50,451,34.033386,-118.180208,0
378,08/29/18,12:35:50,403,34.113605,-118.159559,180
379,08/29/18,12:34:29,454,34.152417,-118.114348,180
380,08/29/18,12:35:50,408,34.112163,-118.189247,0
381,08/29/18,12:35:35,409,34.082787,-118.217915,0
382,08/29/18,12:38:40,406,34.132565,-117.958869,0
383,08/29/18,12:38:40,401,34.053441,-118.235998,0
384,08/29/18,12:38:31,407,34.152505,-118.10424,0
385,08/29/18,12:38:02,452,34.033395,-118.154466,180
386,08/29/18,12:38:52,404,34.140337,-118.02527,180
387,08/29/18,12:38:52,402,34.03326,-118.191311,180
